cocnumber,dem_soc_singparent_acs5yr,dem_soc_vet_acs5yr,dem_soc_ed_bach_acs5yr,ratio_white_population_to_total_population,ratio_black_population_to_total_population,ratio_asian_population_to_total_population,ratio_other_population_to_total_population ,ratio_hispanic_population_to_total_population,env_wea_avgtemp_summer_noaa,env_wea_precip_annual_noaa,env_wea_precip_noaa,d_env_wea_avgtemp_noaa,giniHouseholds,totalUnemployed,medianIncome,povertyRate,median_rent,rental_vacancy_rate,utility_costs,econ_sn_cashasst_acs5yr_2017,econ_sn_eitc_irs_share,hou_mkt_homeage1940_acs5yr_2017,hou_pol_hudunit_psh_hud_share,totHLess,hou_mkt_burden_sev_rent_acs_diff
AK-500,0.225762933,0.158846781,0.33706899,0.611693541,0.054470062,0.085369003,0.06641363,0.083717206,57.92499971,17.83500004,0.916249998,-9.499999046,0.41665,8927,74.797125,8.327317178,1055.5,0.04462713,89,5.534967422,12.86962278,0.366994917,3.528235197,1148.375,2.115926266
AK-501,0.20051764,0.14977482,0.23983638,0.641599193,0.018912155,0.036708671,0.058061413,0.049898931,57.92499971,17.83500004,0.916249998,-9.499999046,0.403227641,17158.75,63.84922788,11.48736322,889.3579102,0.066531777,142.2830658,7.072760105,14.251441,2.236410379,1.925379351,773.5,0.221452117
AL-500,0.321756184,0.103015665,0.331716865,0.605378231,0.32691456,0.015225314,0.01034853,0.039401981,79.54065704,56.1994853,4.958744943,3.303115845,0.475086874,32991.25,50.54139882,15.30353153,612.1569214,0.087481022,203.5455322,1.674812436,22.60783877,7.191578865,4.726576567,1525.125,-1.633757353
AL-501,0.338382408,0.128488187,0.243895106,0.663803344,0.267921269,0.015708186,0.013182659,0.03123006,81.49608803,64.09702587,5.316037953,2.661190033,0.463744603,23467.5,44.4273318,17.38365292,609.6527405,0.176015683,188.7886353,1.724119663,27.05597278,3.681716442,5.171221852,641.625,-0.234925747
AL-502,0.280307651,0.100979466,0.173856705,0.837754071,0.092185294,0.004443428,0.016059719,0.038655244,77.97234917,56.23597765,5.123459071,4.101737976,0.449443082,10712,38.64530959,18.24428034,367.8516541,0.069421251,186.2887726,1.429967284,24.77750696,5.150007248,4.551439047,221.875,-3.670222998
AL-503,0.264599159,0.135060485,0.336778492,0.703798594,0.196842618,0.019031921,0.019536377,0.053229326,78.31449986,58.44745255,5.712646693,4.543487549,0.455751722,19029.25,53.67582728,13.48783088,528.8772126,0.082493879,160.6542664,1.654264331,19.43746158,3.120739698,3.019461304,555.625,1.209147215
AL-504,0.38041316,0.13177884,0.280311987,0.496018746,0.440615011,0.016808907,0.012149428,0.031052771,80.89996243,53.36961365,5.182425916,2.064022064,0.461082511,14010.75,45.48251888,18.43400741,577.3250733,0.073103994,210.753151,1.97043097,28.42749269,5.378108978,3.912554055,444.25,1.239466667
AL-505,0.303820565,0.118667006,0.155549496,0.78501988,0.132468509,0.006025945,0.014794366,0.055535043,78.41470337,55.58177423,5.199535251,2.902732849,0.449476644,11843.5,38.24802669,19.66634607,400.3974152,0.077807762,191.2681427,1.488185167,27.54076413,7.556025028,3.789868176,341.5,-1.762142777
AL-506,0.343467444,0.096452661,0.292610541,0.636624801,0.305314006,0.013707478,0.009869309,0.031717252,80.27499866,55.52750063,5.236250013,3.63999939,0.4712,6886.75,44.590375,17.79321647,585,0.10039136,181.5,4.494605064,24.50052643,3.091341257,5.382169306,219.375,-5.902981758
AL-507,0.33899489,0.115140203,0.17002663,0.690467632,0.245409093,0.007990177,0.012689295,0.036999908,79.69914627,56.4110775,5.298730016,1.592372894,0.466875014,56235.625,37.34253846,21.33868909,398.8445893,0.064522406,196.8176498,1.661497355,29.06621279,5.612762928,3.934540302,792.75,-1.33755064
AR-500,0.341042608,0.125307016,0.297868401,0.653696327,0.258300532,0.016977946,0.015943386,0.050820137,80.87268734,56.39074183,3.020855367,2.71496582,0.4564827,16452.75,48.2111432,15.05438399,579.8457641,0.109972857,181.2787781,2.065459728,22.29252161,3.963645935,4.45257771,1091.75,-2.271708965
AR-501,0.199102037,0.105093926,0.294874102,0.754095145,0.021580116,0.026172162,0.020254036,0.1542326,77.61327553,46.73140097,1.816890948,2.133468628,0.460167293,12510.625,48.42484971,14.92123067,568.9722596,0.07817883,158.754242,1.418993115,21.05058806,4.006642342,1.630749151,429.875,-2.596260548
AR-503,0.297784984,0.115036115,0.184616551,0.766821679,0.130282794,0.012326136,0.017362546,0.06450986,80.26856041,53.61422634,2.987888962,2.871562958,0.455559934,34964.5,39.04313934,19.64694023,453.2653961,0.086749773,173.9052887,1.929117203,27.54072734,5.428497314,4.172076076,1207.142857,0.13653934
AR-504,0.284687817,0.121394731,0.144845016,0.842019579,0.103368365,0.004545734,0.014083075,0.029873115,79.12627029,53.69782305,3.014772147,2.793827057,0.455315707,12045.625,35.51613603,20.72271609,381.9430084,0.088823714,185.1253204,1.557532549,28.03774861,4.626101971,4.728488803,487.8333333,-2.571585655
AR-505,0.377670124,0.103777688,0.165991999,0.583550739,0.363314358,0.005508223,0.011265673,0.032714768,81.07494354,53.63459969,3.733875692,3.992961884,0.464118,11862.375,36.78520714,21.70324612,385.2918243,0.078691528,213.5052567,5.639669895,30.31493977,5.74810648,4.880686522,74,0.035387278
AR-512,0.221007131,0.153980091,0.159840964,0.949597524,0.003744135,0.004451172,0.014836835,0.020123816,77.07046509,49.00281143,2.405772991,2.386657715,0.444486761,3073.25,36.02815695,17.29532778,421.3132782,0.089294143,155.1779175,3.082505703,23.46402332,6.240184784,2.797117889,62,-3.085255623
AZ-500,0.268000647,0.142946541,0.180826575,0.562767564,0.020786337,0.011678925,0.015990604,0.276433908,81.14626312,11.13932514,1.336120103,3.324871063,0.437109473,76474.25,42.80436689,19.42261314,657.8464661,0.087724604,167.6661988,2.564350605,26.26244436,2.575451851,0.946155459,2351.25,-1.334159136
AZ-501,0.285503358,0.137363099,0.295136884,0.540421351,0.032702157,0.026902613,0.017603176,0.356154406,85.05708313,10.71874988,1.149999989,2.340000153,0.4662,33679.875,45.116375,18.59125853,676,0.087116801,124,2.29975462,21.53760556,2.452376366,2.051603526,2281.75,0.358220935
AZ-502,0.249859519,0.105205107,0.306133404,0.57479642,0.048695595,0.036264796,0.018872007,0.303103855,89.52541637,7.50124985,1.182500024,1.930000305,0.4609,137300.375,53.336125,16.33392227,811,0.094894234,150.5,1.940116286,19.01439149,0.973094702,1.448032573,6007.5,-1.328317881
CA-500,0.162274271,0.052341927,0.49392353,0.342391228,0.024133687,0.335678821,0.028545161,0.26343022,69.09249973,21.15999973,4.186250012,-0.36000061,0.45935,68334.5,93.456125,9.545204878,1554,0.02998675,82,2.176261902,10.48109899,4.930779934,3.706450194,7109.75,0.509290397
CA-501,0.230218217,0.045166474,0.574644983,0.417038588,0.05467302,0.338546566,0.03135084,0.152093524,61.84458303,22.89375007,3.911250042,0.869998932,0.5149,30885.25,79.46225,12.45033967,1452.5,0.037346287,57.5,2.475917816,10.71301964,48.33085632,6.444687128,6429,-0.815702975
CA-502,0.221639283,0.058675108,0.444459632,0.335356567,0.11533504,0.275541987,0.038073958,0.224748987,69.19083309,16.7125001,3.057500026,0.740001678,0.4643,61508,74.094625,12.0563345,1248.5,0.038831313,81.5,3.578637123,13.24001435,19.83312988,5.726620138,4390.75,-1.131859422
CA-503,0.261984155,0.098059699,0.291124076,0.475561713,0.09814246,0.146883999,0.042487929,0.221132562,75.45833397,17.43999994,3.297500058,1.270000458,0.44715,62992.25,54.657,17.22617376,911,0.059940426,123,5.528743744,19.96884292,4.83823061,3.497309983,2716.625,1.046487689
CA-504,0.206735089,0.091785889,0.313807234,0.654682806,0.014947257,0.038867036,0.026193848,0.255070025,65.39499998,36.95500028,7.413749896,0,0.45115,18974.5,63.657875,11.15841401,1197,0.042136386,104.5,2.301592827,11.69028418,9.150093079,3.057114363,3719.125,1.143875718
CA-505,0.199550904,0.077795286,0.400241449,0.468198444,0.088287309,0.152389983,0.036762334,0.246975041,70.55208492,17.42249984,3.536250021,-0.049999237,0.4613,42287.375,78.80175,10.14757442,1301.5,0.044337918,106,2.863188267,11.66123431,4.416880131,3.762738287,2117.125,-1.637348533
CA-506,0.205486119,0.077651583,0.213367946,0.325480908,0.02511573,0.053743494,0.021058199,0.567006436,69.16923332,17.64545107,4.080097845,0.516384125,0.4505824,25892.125,58.06328614,15.41277957,1122.058716,0.037767025,100.3610306,2.385357857,18.46230125,8.037931442,3.833817244,2880.125,0.988304615
CA-507,0.175327495,0.077814117,0.560848504,0.729650807,0.026316275,0.057389019,0.028300283,0.154445556,61.34249973,31.82000017,6.122499946,0.310001373,0.51305,7670.125,91.052125,8.137198985,1580.5,0.028278681,87,1.155172348,7.249080045,12.6965313,3.25828141,957.625,0.08212626
CA-508,0.212674007,0.071098022,0.382952124,0.589517201,0.00952642,0.042073078,0.026736839,0.326954987,64.68666649,29.01374966,6.028749982,0.020000458,0.47045,14795.25,64.799875,14.02422249,1309,0.031338033,94.5,2.472070694,14.51645769,12.1039381,5.521767259,2626,4.13632679
CA-509,0.271185279,0.111775886,0.205239266,0.674065275,0.006991183,0.017405596,0.026715233,0.233842829,67.14500046,47.50625038,8.476250038,-0.520000458,0.46565,3577.875,42.1845,19.43775391,821,0.030563451,136.5,3.567092419,20.88803291,10.50743294,4.06737268,1290.25,3.988936424
CA-510,0.230660163,0.078189585,0.167957395,0.452649905,0.025634416,0.05078978,0.025000608,0.433922996,75.36625004,12.82250011,2.543750039,2.030002594,0.445,31936,48.917125,19.08220792,824.5,0.05154608,159,5.668475151,24.1390092,5.729380131,3.382271647,1445.5,-2.405705929
CA-511,0.233115993,0.080477711,0.180264518,0.349036317,0.069998441,0.142259307,0.030936072,0.39810374,74.78416538,12.9287498,2.471250053,2.180000305,0.4462,39566.25,52.234375,17.70355022,861.5,0.051870093,163.5,5.516740799,23.18548993,7.187321186,3.317514062,1909.125,-0.497040153
CA-512,0.16824232,0.06010111,0.47787182,0.415597609,0.025363425,0.260350189,0.03306252,0.249838871,63.13791752,24.73500031,4.491250018,0.400001526,0.47945,23548.375,91.264,7.597727537,1588.5,0.032090854,80.5,1.631738186,8.493660927,8.406197548,2.331219107,1663.875,2.357400894
CA-513,0.242670298,0.079412423,0.132265016,0.321313309,0.025979037,0.033678796,0.015028621,0.595211097,73.05816078,15.20080435,3.288625311,0.536533356,0.451905227,37067.375,42.82693712,24.43508601,684.1538086,0.04196114,145.5239335,9.266645432,31.28858076,5.956739426,2.989863902,814.5,1.930457354
CA-514,0.265915886,0.075272609,0.188236862,0.324837669,0.045723288,0.085265434,0.016994315,0.518823115,71.6992588,16.61487097,3.583277037,0.293197632,0.467764513,67269.5,44.48439092,25.08718204,749.3845215,0.051714115,131.1146698,8.031017303,28.69311333,5.845367908,4.984325767,3157.375,1.737338305
CA-515,0.172823481,0.12029916,0.366969392,0.774204343,0.012397282,0.052340467,0.029384103,0.123429543,68.50855732,43.58938622,7.448017118,-1.426036835,0.436381532,18527.625,69.93160058,8.959667623,1097.282959,0.055804243,147.7172318,2.271788597,11.25302614,4.225210667,0.9255943,885.375,0.555488467
CA-516,0.247335747,0.138052799,0.190141045,0.781153922,0.020141661,0.021324947,0.03262807,0.113278045,68.80415821,39.43482196,6.115678355,-0.91198349,0.450466208,16202.375,42.81126011,17.55261815,701.0089722,0.058905171,172.8823166,3.922431231,20.14659991,6.881165504,3.133066475,821,-2.903661251
CA-517,0.19115103,0.096806172,0.312726617,0.550512883,0.019547922,0.072578695,0.021814517,0.329024015,71.05916691,28.12999988,5.938750021,0.180000305,0.4664,5287.125,67.777125,9.440386236,1254,0.052596605,106.5,1.689113855,11.14752551,8.07399559,3.523931444,280.875,-4.26082325
CA-518,0.255643524,0.124254022,0.248446152,0.404310727,0.139940185,0.145174508,0.048838328,0.248881977,72.34999943,18.19874972,4.02874993,1.259998322,0.41785,18973.625,65.499875,12.08318854,1158,0.060182968,121.5,3.586002827,15.26668998,6.410430431,4.513615429,1009.5,-0.0831604
CA-519,0.246404335,0.124523409,0.255411357,0.741924251,0.014749002,0.042918769,0.032420576,0.150430032,74.68708324,39.7987498,6.953749986,-0.830001831,0.46705,10784.625,42.185375,20.5175457,793.5,0.054433041,113.5,4.515525341,20.29504313,7.249289513,3.169302344,785.5,2.355921268
CA-520,0.249571539,0.073525246,0.130381633,0.305955625,0.032483355,0.072365077,0.01720713,0.565550389,76.74250031,10.23499995,2.187499958,1.580001831,0.46095,16668.75,42.42025,23.85849714,716.5,0.061426075,127.5,8.107831955,28.84253911,5.380318642,4.200644612,546,-1.743355393
CA-521,0.211415596,0.080608748,0.408300191,0.490896251,0.02410466,0.132370923,0.033920344,0.308766162,75.47749996,18.79000032,4.032500037,1.030002594,0.48025,9505.375,55.46225,17.40721083,1016.5,0.030013473,100,2.938906193,15.70911571,5.00536108,4.053332329,484.625,-1.525449753
CA-522,0.274599984,0.108446773,0.275301248,0.763599185,0.011371301,0.023922248,0.041662519,0.104562382,65.97541809,57.12624931,9.256249964,-0.430000305,0.46905,5295,39.871,19.94130612,771.5,0.042876695,107.5,3.946804523,20.79468291,16.25204468,3.411550105,991.375,-1.977810264
CA-523,0.245590739,0.121620633,0.141711369,0.662077175,0.011003732,0.013365339,0.025180606,0.26551206,73.5019598,34.98070967,6.611581944,-1.563529968,0.453409487,10628.5,39.95640989,19.55460334,672.8442993,0.055098042,153.8463059,4.743973732,23.00609943,7.716168404,1.595489576,494.375,0.4645437
CA-524,0.217229851,0.122006539,0.164526731,0.528073496,0.024872593,0.114316274,0.03516565,0.281669814,76.65842628,24.86983085,4.569778603,0.17615509,0.433413617,10475.625,46.26338194,18.09631872,756.3632202,0.049231288,134.3414154,5.532626152,24.90265056,5.842258453,3.406765491,755.25,-0.460752845
CA-525,0.168178663,0.126542117,0.326276675,0.793534242,0.008464367,0.037336981,0.027448272,0.123433824,69.08333397,42.13250089,7.202500029,-1.349998474,0.4408,7994.625,68.538375,9.574136138,940.5,0.084005218,161,2.809205055,12.06719412,2.926351786,0.96944683,256,1.313954592
CA-526,0.218877792,0.146578588,0.18842788,0.814345831,0.016548345,0.012079161,0.025605493,0.114230445,70.24618912,33.53894615,5.91768568,-1.535915375,0.445178981,7082.875,50.46132433,13.22875059,809.6732483,0.08745404,168.371666,3.245111227,15.25275012,6.945156097,0.853636414,407.625,4.019215584
CA-530,0.239610426,0.109758664,0.269217953,0.65996903,0.00651347,0.014812226,0.020506344,0.226795057,71.75800419,9.65611136,1.936755739,-0.93504715,0.407090405,1509.75,50.30881261,12.40708566,834.9710694,0.140734069,127.9794159,1.668839931,15.07057735,5.303690434,0.13275787,101.3333333,-14.43771267
CA-600,0.260034129,0.049101584,0.309357285,0.273288186,0.082616668,0.139296181,0.018972389,0.481379999,74.37333488,11.53375,2.752499969,-0.290000916,0.498,477036.5,55.3275,17.47396851,1116.5,0.038271556,96,3.95161891,21.84076118,15.00479317,4.197762251,42579.25,1.478114724
CA-601,0.227752626,0.112355798,0.361268803,0.47560772,0.047930916,0.110236499,0.029970267,0.32728502,74.90000153,11.59875,2.436250025,0.86000061,0.4605,122707.25,63.0665,13.84802377,1247,0.043787456,81,2.710836649,16.96852602,4.401824474,3.288802177,8973.5,0.202938914
CA-602,0.18373929,0.063885165,0.382649958,0.430087965,0.01579233,0.185857951,0.023638813,0.339539388,71.9100008,9.921249986,2.628750023,0.180000305,0.4629,109402.25,74.48825,12.24524355,1440,0.041291937,95.5,2.209216833,14.83689322,2.447111845,2.500397801,5491.125,1.613634825
CA-603,0.218176648,0.094337374,0.311659098,0.470655934,0.018031785,0.048919179,0.020906505,0.43541028,67.61458302,13.80625015,3.413750018,0.36000061,0.4776,16027.5,60.912875,15.30686557,1276.5,0.033330413,86.5,2.403338671,14.71082415,7.948943138,4.778675079,2060.125,0.719425082
CA-604,0.253120691,0.085027616,0.149336189,0.372073497,0.053194479,0.042534855,0.01796996,0.506230521,78.76208401,7.10375005,1.659999993,0.939998627,0.4563,48113.625,47.19825,22.06082535,731,0.05947816,141.5,6.575511456,27.72795323,4.449830532,2.021928549,1158.125,-0.17375052
CA-608,0.211057656,0.095999714,0.203914911,0.383062101,0.060217602,0.059751225,0.02133924,0.467832637,84.90333462,6.793750048,1.745000036,0.649997711,0.44435,101803.5,55.333875,16.1444633,1029.5,0.06872572,147,3.768229961,23.24629756,2.078386068,1.623598561,3536.375,-0.039252639
CA-609,0.254062675,0.082981024,0.192025803,0.317522001,0.083185748,0.064179026,0.020429684,0.50747282,85.33750057,5.801249862,1.268750018,0.809997559,0.4352,89809.75,52.47625,18.51982141,975,0.062775577,143,5.617347717,26.39190619,3.823460579,2.0192063,2240.125,1.020085812
CA-611,0.194619134,0.085070327,0.321196973,0.476335157,0.016755081,0.068463993,0.021820198,0.411806356,69.04166698,14.31624991,3.482500087,-0.459999084,0.4411,35134.375,74.745125,10.84736824,1403.5,0.036835134,96.5,2.232882261,14.48941217,3.302441597,3.199602991,1561.625,1.590782404
CA-613,0.28187643,0.058567388,0.145514853,0.126737637,0.027287235,0.013124053,0.00569219,0.817905181,91.76875019,2.944999963,0.757499989,1.890003204,0.46965,20430.125,39.285625,22.23106289,602,0.050568948,136.5,6.877729416,41.69194521,3.073489666,5.55058217,486.25,1.243960857
CA-614,0.189003214,0.112371221,0.318575874,0.703466957,0.018805841,0.03320807,0.023153066,0.21467243,71.03458309,13.54374978,3.452499946,0.920001984,0.45225,9942.75,59.04475,13.14775836,1108,0.034218993,103,1.762384534,12.80184473,5.205236435,2.276526898,2102.25,-3.950116158
CO-500,0.212427177,0.115991294,0.309814408,0.742819475,0.011064713,0.010830484,0.01404454,0.211233418,66.18077326,18.23246205,1.038716637,2.016895294,0.437451836,56620.75,53.25724649,13.63829875,750.8180237,0.070770521,132.5131264,2.458440304,16.24441596,10.67878437,2.424470723,4921.5,-0.944942236
CO-503,0.228162326,0.094815433,0.430100814,0.66413955,0.049952907,0.039287733,0.020579078,0.220067073,68.84393215,18.27919888,0.532322593,-0.010400772,0.450143878,98432.25,65.62656991,11.60709929,935.5960999,0.050626023,114.2335663,1.859721184,13.59897505,6.507496357,3.019764304,6178.125,-0.437167287
CO-504,0.22383596,0.202752218,0.367125794,0.71173395,0.059888044,0.027217085,0.033847197,0.158013393,68.30583286,15.9799999,0.363749997,0.859998703,0.43545,21987.75,57.170125,11.83160257,799,0.062920004,134,2.604310751,17.81318828,5.474988937,1.949291095,1224.25,0.628732145
CT-503,0.200487964,0.06449502,0.480088562,0.650432383,0.105156787,0.050603053,0.013150603,0.179037853,71.75083351,46.10499954,2.954999983,3.670000076,0.5398,32977.875,81.69125,8.804513455,1121.5,0.067922643,195.5,2.163426399,11.35963385,21.28739357,5.10502553,946.25,0.615000725
CT-505,0.262760639,0.093838662,0.363419607,0.717417506,0.094430609,0.038340588,0.016358082,0.130640271,70.73833275,45.00788927,2.789865896,4.083761215,0.45119185,108007.25,64.65986544,10.43018687,841.2171936,0.06798837,163.555275,4.019793987,13.37328666,22.65368462,5.90555042,3205.75,0.012427568
DC-500,0.510963559,0.067576099,0.558520019,0.354564197,0.485477184,0.036652041,0.020096456,0.100537457,79.52500057,40.82874966,2.537499994,1.900001526,0.533,30539.125,66.309875,17.45694613,1153.5,0.06045006,95,3.854331732,16.69268172,35.59115982,11.89453137,7221.625,0.054773688
DE-500,0.286751255,0.11798647,0.304886729,0.644553958,0.211500613,0.035322876,0.020007028,0.085155931,75.65352631,46.47490931,3.015404105,1.96452713,0.438371637,29725.375,58.91902118,12.0016911,816.1560364,0.091174483,184.6350708,2.408687115,17.08780943,8.979166031,3.178408235,986.125,-2.460867167
FL-500,0.278241202,0.144731887,0.278908953,0.789191422,0.064634342,0.016047315,0.012188926,0.115630473,82.58278179,53.21483135,2.581933342,-1.820388794,0.473287434,25549.875,48.98723125,12.99005461,852.6746826,0.118288628,149.9957962,1.815404177,15.89517784,1.690705538,1.242558241,1326.375,-2.45704937
FL-501,0.309526861,0.111117233,0.318892464,0.525026624,0.157592915,0.03687965,0.017790091,0.259520817,82.53583241,55.07749987,3.018750057,-1.879997253,0.47505,49822,49.098125,16.32206202,824.5,0.091533076,139.5,3.049767971,21.92792674,3.135218382,3.026055217,3922.25,-2.767586708
FL-502,0.320667282,0.135364894,0.297532305,0.760827601,0.102903698,0.031688652,0.016489748,0.084927936,83.18875122,54.62249994,3.041249998,-1.459999084,0.4774,35330.5,44.9885,13.96113288,795.5,0.093984466,153.5,2.642266512,17.3500655,3.674498558,2.646719277,3513.5,-0.333347917
FL-503,0.298204228,0.122296061,0.192634247,0.631043278,0.144735816,0.017240449,0.014388802,0.189229568,82.59833431,52.83749962,2.838749956,-1.849998474,0.4342,24865.75,42.5275,17.45200837,685.5,0.093725003,185,2.341074228,26.0552142,3.549533606,1.643873319,683.5,-3.231692314
FL-504,0.29747802,0.14795208,0.219575256,0.74568841,0.103060801,0.017650267,0.01490982,0.115471028,82.19557667,48.19954634,3.278163252,-1.188835144,0.451341934,24820.25,42.53495026,15.76865089,778.2749634,0.085060246,159.4083634,2.161468267,21.2861508,1.914239287,1.856887281,1705.125,-3.145807981
FL-505,0.250040166,0.224881262,0.272857144,0.779879218,0.085018495,0.024616391,0.029977102,0.073100828,81.37163067,61.03804207,5.085356295,0.345233917,0.442219798,7517.375,51.51711579,12.96028745,808.827179,0.131927513,188.1094971,1.471272111,18.70494734,1.152058363,1.569971263,1551.5,-4.597985744
FL-506,0.35105975,0.113171935,0.34374778,0.585750929,0.313388272,0.022149481,0.016250599,0.058657424,81.74481964,54.3698554,4.652528018,-0.503593445,0.470731716,14600.75,43.17001876,20.66346693,657.1471253,0.084944953,194.9447251,1.883864999,22.70436314,2.698139906,2.908344358,850.875,-6.476306915
FL-507,0.283846796,0.088472653,0.313324124,0.476879193,0.163546681,0.045071905,0.016966569,0.294248879,82.60057449,49.30824518,3.011388103,-1.544815063,0.459080513,79728.875,48.78239855,15.5340296,877.0461121,0.103249297,174.1480866,2.145191193,25.79111971,1.380326748,1.272328109,3088.125,-1.45303607
FL-508,0.317965657,0.12619634,0.306462586,0.683414055,0.175818476,0.036133392,0.018601031,0.082502805,81.83192825,51.33829927,3.178636074,-0.829151154,0.491237687,13801.625,39.43075815,22.64578319,638.0260315,0.087063588,157.2356949,2.078192472,22.84200614,3.08143115,3.155242592,1189.875,-1.23540163
FL-509,0.269608915,0.137928382,0.228886746,0.693271823,0.129682583,0.014708125,0.013207089,0.146262683,81.93733215,48.39760256,2.991360475,-1.762435913,0.483322726,24561.5,45.98823194,15.20824564,818.6002503,0.140916765,167.2176972,1.95308423,20.26394054,1.144289374,0.960117675,2115.5,1.527938247
FL-510,0.312206194,0.154884681,0.265650824,0.611872899,0.243556806,0.038883919,0.021674331,0.07981787,82.03643227,48.88931084,3.040763926,-0.108524323,0.451658315,47132.375,49.69047794,15.01667523,783.8237,0.094315313,170.7016449,2.642804623,22.98580415,4.332151413,3.587350547,2453.125,0.713852048
FL-511,0.290873259,0.184951767,0.256987035,0.720472889,0.168128509,0.025610928,0.026213304,0.050427302,81.49927807,60.65702629,5.046903968,1.576583862,0.436579362,15896.25,47.97701861,14.58253574,723.9202271,0.120704525,190.3820038,2.015982866,21.79911123,2.601670027,2.610886335,880.375,-7.881362915
FL-512,0.168099508,0.136728182,0.420395046,0.844731553,0.054709412,0.023715156,0.015103306,0.058552177,81.81375027,49.71625042,2.942500003,0.75,0.47995,6426,66.468,9.244274973,939,0.105062526,164,1.63575542,12.68122155,2.84757638,0.364036702,1192,-2.397163153
FL-513,0.257484868,0.171295062,0.284635782,0.766717038,0.098580014,0.022244613,0.019974182,0.088504512,82.10166645,48.2750001,2.998749961,-2.809997559,0.4485,22430.875,47.632,13.77049315,775.5,0.132986572,147,1.937844634,18.81305422,0.856344759,2.067337915,1372.25,0.320264697
FL-514,0.305224165,0.161342524,0.171635412,0.728924302,0.12318878,0.015034457,0.013967366,0.115240625,82.01374817,51.42249966,3.503750052,-1.149997711,0.44105,12710.5,38.523375,17.70132303,636,0.113403313,193,2.020759583,23.24720437,1.646660805,1.445545807,787.75,-3.190579891
FL-515,0.279088184,0.166412868,0.182418831,0.765750257,0.140834208,0.014408088,0.022420334,0.04863833,81.74441051,58.76341772,4.642119996,0.576904297,0.434018751,10450.75,41.60066642,17.10748363,620.6398621,0.196985774,193.1484299,2.545877934,24.7439597,2.886075974,2.2523368,323.875,0.932902098
FL-517,0.284425646,0.127332687,0.11769186,0.586972261,0.099531184,0.010456186,0.010020882,0.284802502,82.30100822,51.71516895,2.615160532,-1.790908813,0.446655047,9866.125,35.40192612,22.93356824,561.447876,0.117071931,159.2950974,3.126808167,27.82251467,2.327268839,0.676074766,1868.625,-2.262947083
FL-518,0.277696162,0.153710395,0.125072133,0.724309806,0.176772935,0.007447688,0.014365461,0.072269678,81.51365566,54.36023235,4.274718933,-0.802021027,0.445317402,4298.5,37.41350572,20.33845067,515.8412171,0.081056762,187.4144288,2.355025053,28.79015623,3.715625286,1.536674276,1072.875,-1.878677368
FL-519,0.219038703,0.145584777,0.234635308,0.783990963,0.04661696,0.022121363,0.015614574,0.128413693,82.04499912,54.65749979,3.080000035,-2.340003967,0.44065,17961.375,43.63825,14.01224184,749.5,0.106349644,171.5,3.212496996,20.06417274,0.821969569,0.941240847,3088.5,-1.61562264
FL-520,0.261004895,0.171429455,0.186925113,0.796189236,0.070778022,0.015187627,0.012976444,0.10112421,82.08615589,50.23858309,2.956780076,-1.818279266,0.428811163,25805.125,43.42786733,14.30544055,706.9796448,0.118800357,171.382782,1.940159917,19.02397537,1.490914226,0.465580717,1008.625,-1.320108771
FL-600,0.323302239,0.032608148,0.287629336,0.150392502,0.168419158,0.015103235,0.006956975,0.657957272,83.23791599,56.66124964,2.143750031,-2.560005188,0.5159,102391.75,42.18325,19.51058459,956.5,0.077231482,141.5,2.184451103,31.35529082,3.821124792,4.863851249,3967.25,0.646731257
FL-601,0.303585514,0.071687685,0.323330969,0.411964641,0.268520433,0.03442914,0.014892649,0.267506783,83.027915,56.89625025,2.303750023,-2.019996643,0.47635,71417,50.52975,14.25381064,1053,0.091106546,141,1.87908268,24.30576324,0.788114846,2.002710953,2894,-0.535789132
FL-602,0.25581345,0.182588607,0.199008383,0.852306432,0.055698504,0.013038409,0.012530595,0.063648956,82.81333351,52.2750001,2.556250021,-1.760002136,0.44275,5993.75,43.2435,12.80879426,761.5,0.1572439,155,1.237397552,16.20901803,0.564354122,0.782690927,527,3.208810091
FL-603,0.275190622,0.133436721,0.243525296,0.69953157,0.080185267,0.014909184,0.011480043,0.191365315,83.17833328,50.72624969,2.44875001,-2.36000061,0.4751,24863.625,47.67075,15.02304912,807.5,0.137725584,163,1.879620552,19.35709735,0.7802037,1.250673309,737.125,-1.015940309
FL-604,0.238047786,0.131388117,0.286099538,0.691261164,0.059003185,0.011779356,0.012732013,0.221037913,83.71624851,50.16874981,1.998750044,-2.949996948,0.5006,2367.625,54.180875,13.19654798,1201.5,0.174871236,166,1.956073046,16.90652629,7.018139839,2.582768917,752.125,1.985546947
FL-605,0.2910676,0.100406405,0.33381407,0.583546275,0.175661456,0.025237377,0.012116544,0.201289871,82.54958248,52.92374992,2.608750008,-1.779998779,0.5146,51859.125,52.247375,14.11157572,1025,0.090578188,152,2.02655673,19.93528121,1.663024545,1.652332962,1740.75,-0.552037358
FL-606,0.242428608,0.121419005,0.286010981,0.648094465,0.064948805,0.011850847,0.008273393,0.264490053,83.17958355,51.59875011,2.250000063,-2.949996948,0.53245,12226.75,56.44475,13.77537715,933,0.125041682,152,0.839264691,17.16997937,0.256009102,0.4750278,444.75,-3.605955839
