cocnumber,dem_soc_singparent_acs5yr,dem_soc_vet_acs5yr,dem_soc_ed_bach_acs5yr,ratio_white_population_to_total_population,ratio_black_population_to_total_population,ratio_asian_population_to_total_population,ratio_other_population_to_total_population ,ratio_hispanic_population_to_total_population,env_wea_avgtemp_summer_noaa,env_wea_precip_annual_noaa,env_wea_precip_noaa,d_env_wea_avgtemp_noaa,giniHouseholds,totalUnemployed,medianIncome,povertyRate,median_rent,rental_vacancy_rate,utility_costs,econ_sn_cashasst_acs5yr_2017,econ_sn_eitc_irs_share,hou_mkt_homeage1940_acs5yr_2017,hou_pol_hudunit_psh_hud_share,totHLess,hou_mkt_burden_sev_rent_acs_diff
SC-503,0.376666978,0.121792309,0.191237509,0.589365972,0.344955257,0.0089181,0.012896348,0.037867735,80.24700832,48.29787493,2.510669097,1.398822784,0.460627109,39637.75,38.29014273,21.03023005,526.0040283,0.17096062,177.4427109,1.50432241,29.55037662,3.663923502,2.393875808,1364.375,0.980842113
SD-500,0.215146616,0.121548913,0.285371512,0.8371116,0.015689856,0.011505715,0.01846364,0.032547488,69.93501854,24.26727962,0.57324335,-0.638687134,0.435479615,17935.25,50.09090419,13.42027891,514.170456,0.058891339,113.4466667,2.941031933,15.88165556,17.49329185,3.778113395,930.75,-1.354230881
TN-500,0.277632341,0.109552745,0.234600388,0.809532289,0.118637634,0.012957928,0.014032312,0.041510063,77.02964783,57.65342712,5.206848443,4.028057098,0.466491026,24039.375,43.05867146,17.18525827,521.6410828,0.087069411,157.5826798,3.391731977,22.16960553,7.480237007,4.161529481,586,-1.161290646
TN-501,0.431375802,0.095968325,0.304987401,0.379095045,0.52497924,0.02430674,0.011959822,0.057617568,80.53958511,56.74250031,3.726250008,3.780002594,0.50165,36410.125,44.736375,20.85744238,636.5,0.122962743,206,2.36915493,30.09213993,6.517969131,4.375870615,1723.25,-1.888161898
TN-502,0.245937936,0.101794735,0.374683365,0.835711515,0.087647816,0.020047313,0.017109534,0.036520088,76.8087492,55.95250034,5.132500052,4,0.4792,14064.875,47.69275,14.93835759,616,0.051858465,149,2.561543226,18.13976833,6.695847988,5.597666681,869.875,-2.454574347
TN-503,0.222640477,0.124410234,0.267491341,0.832282134,0.0806968,0.01437268,0.017426264,0.051135164,77.10053825,53.50304127,3.925566167,4.290210724,0.429621179,37542.5,55.79732133,13.09853435,652.2025757,0.066985835,162.1711045,3.104575396,19.68439266,4.715659618,2.229272455,259,-0.534680486
TN-504,0.349905208,0.084191479,0.381439552,0.573516739,0.274451137,0.032947511,0.019086347,0.09702358,77.89333248,52.89375019,3.776250035,4.5,0.48705,21631.125,47.61625,17.45277107,710,0.069457868,141,4.60795784,20.61300686,6.486224174,6.09203124,2169.375,-3.316730261
TN-506,0.22189457,0.111803196,0.183824025,0.915950838,0.027244747,0.006962867,0.012103339,0.034295214,75.59139442,57.76195955,4.582476884,4.208011627,0.449151856,20883.625,42.1792074,17.60726845,474.7448425,0.086349201,160.8168182,2.394141436,22.89580263,5.548700333,2.618277758,424.5,-1.249602437
TN-507,0.306885451,0.111681521,0.169385552,0.764535634,0.186513808,0.005586413,0.013027937,0.027178752,78.55343246,54.43136597,3.588189349,3.76292038,0.457433266,29050.25,39.95895945,18.86563993,423.6153107,0.079803102,197.2322006,2.688180923,27.01507923,6.481401443,3.606502146,1639.625,-0.213235617
TN-509,0.248139642,0.124567147,0.212640613,0.932575773,0.024305729,0.006843704,0.011993539,0.021598555,73.770298,48.1420145,3.955114633,3.57736969,0.462000747,18682.125,38.27768144,18.74890733,452.7070008,0.057177622,139.4392547,2.493701458,22.95854432,8.876605034,3.466879338,548.875,-1.408998728
